Code,Name,Market,entry,exit,entry_px,exit_px,ret,reason,hold_days,sell_tax
012330,현대모비스,KOSPI,2025-01-31,2025-02-07,95.5311827956989,88.66631199999996,-0.07353040143978429,stop,7,0.0015
101490,에스앤에스텍,KOSDAQ,2025-08-18,2025-08-20,1981.8970588235259,1839.477936176467,-0.07353040143978429,stop,2,0.0015
010140,삼성중공업,KOSPI,2024-07-17,2024-08-05,27.25545335085418,25.296876473061797,-0.0738088016797479,stop,19,0.0018
003850,보령,KOSPI,2024-01-24,2024-02-05,35.92075471698096,33.33948928301871,-0.07380880167974802,stop,12,0.0018
011780,금호석유,KOSPI,2024-07-12,2024-07-19,177.86854054054072,165.08690721729747,-0.07380880167974802,stop,7,0.0018
005940,NH투자증권,KOSPI,2024-05-17,2024-06-04,133.4264033264032,123.83838198336787,-0.07380880167974813,stop,18,0.0018
357780,솔브레인,KOSDAQ,2024-05-22,2024-05-24,125.25000000000006,116.24953500000004,-0.07380880167974813,stop,2,0.0018
000100,유한양행,KOSPI,2024-07-02,2024-07-02,45.680219178082105,42.39763862794512,-0.07380880167974813,stop,0,0.0018
178320,서진시스템,KOSDAQ,2024-02-14,2024-02-28,57.54457831325299,53.409424915662626,-0.07380880167974813,stop,14,0.0018
144960,뉴파워프라즈마,KOSDAQ,2024-06-05,2024-06-05,40.8553571428571,37.919491178571384,-0.07380880167974824,stop,0,0.0018
039130,하나투어,KOSPI,2024-03-25,2024-03-27,103.91111111111069,96.44405866666627,-0.07380880167974824,stop,2,0.0018
005830,DB손해보험,KOSPI,2024-07-01,2024-07-09,197.96880415944557,183.7427658925478,-0.07380880167974824,stop,8,0.0018
138930,BNK금융지주,KOSPI,2024-12-03,2024-12-20,67.82769230769249,62.9535943384617,-0.07380880167974835,stop,17,0.0018
108320,LX세미콘,KOSPI,2023-06-16,2023-06-30,520.3519313304703,482.9594415450627,-0.07399440183972406,stop,14,0.002
000810,삼성화재,KOSPI,2023-09-12,2023-10-30,106.16428571428568,98.53532014285712,-0.07399440183972406,stop,48,0.002
222800,심텍,KOSDAQ,2023-09-04,2023-09-08,344.29955947136443,319.5581931277522,-0.07399440183972417,stop,4,0.002
033290,코웰패션,KOSDAQ,2023-09-19,2023-09-19,623.2848979591846,578.4956451918375,-0.07399440183972417,stop,0,0.002
042660,대우조선해양,KOSPI,2023-04-18,2023-04-28,75.45027737571269,70.02842044349397,-0.07399440183972417,stop,10,0.002
001780,알루코,KOSPI,2023-04-13,2023-04-18,187.8750000000001,174.37430250000008,-0.07399440183972417,stop,5,0.002
027360,아주IB투자,KOSDAQ,2026-03-03,2026-03-03,493.15826086956616,457.7199082434791,-0.07399440183972417,stop,0,0.002
